ACCT_ID,SERIAL_NBR
6520572000,GE9796655
4121710591,GE9442515
4894436268,GE3756602
3893872000,GE9855405
345372000,GE9789162
6817786354,2400159
1448435961,SS13693639
186301874,GE3735355
7895372000,GE9414756
6161672000,E58495000000
7283011050,GE9815353
551271737,525708800
5937901641,GE3876966
9625182000,U272660
7870064407,GE9390832
5429047568,10878727
9240421918,GE3735691
1260972000,1236160
9567172000,GE9416375
4574182000,11379262
2600449206,JUCA54758
2907272000,GE9421355
4507878175,GE9362707
1261366702,4952257
8975172000,12203485
9730272000,GE9392193
139193773,GE9361084
5445265472,GE9882116
6616062805,GE9322030
2730914855,GE8571963
7664333540,75197414
6111272000,10935140
5137272000,GE5838822
6183435111,61829588
9876072000,GE9330702
5542716022,GE9365790
2952272000,GE3756411
8041872000,GE9323165
814182000,SS17526584
3215182000,664253
7341182000,GE9321576
4075082000,1623016
3822972000,GE9362246
1394617497,4979231
9899393099,GE3925096
609372000,GE9330599
21241870,GE9892293
7123683933,26580072
2258255667,GE3833698
1910282000,GE9328575
9276425877,GE9389183
7700662889,GE9787224
5490027032,SS17554774
1182772000,GE9323536
3486472000,11541348
3401372000,SS17498880
1975672000,42232239
1667406147,GE3758247
1894809956,2345678
3772872000,GE9832205
1348872000,12084245
4574382000,GE3657437
6400872000,GE3735743
7087177905,Y0532696
5844372000,GE3925294
8349472000,GE3971186
777513044,GE9353475
1959481495,GE9359790
4230115950,GE9387930
6207650456,GE9443583
4884172000,GE9328078
7053105146,JUCA54732
5858340725,1704211
590372000,GE9810663
361672000,1366491
3128772000,GE9442267
1176972000,GE9352213
2045272000,GE3736192
4329330466,GE9421401
1946172000,GE9322866
9178568432,1149144
1287987063,257092
7558007738,GE9442436
7116676447,4896212
528972000,61834362
222811850,SS22016698
7537543000,GE3507885
6510716914,5271114
4509774571,75195735
8172372000,56578864
6190382000,GE9391755
5692272000,11541340
2300074007,GE3877637
9835634782,GE9326621
1267543000,7937137
2949172000,GE9814622
3130472884,GE8572524
8707182000,SS18150905
9005572000,1209684
2395697499,GE9389587
8845208037,GE9321574
7590572000,57632174
6979172000,49840
6312772000,23572612
7284876991,11149017
9617872000,GE3876087
301991808,1213974
6915570112,2402028
7732372000,GE9881200
1143182000,GE9416511
9730859792,1793977
8164581538,GE9391496
3935646005,GE3644882
6961510395,13525185
1952282000,E27614000000
698082000,7720823
3437372000,GE9445140
8575472000,GE3660019
9580372000,GE3659560
5447472000,GE9848845
7354972000,GE9799326
9893872000,GE9766426
3655086801,GE9331009
1140808918,GE9442351
6031272000,GE8605480
4174272000,GE3622223
7118438563,GE9796278
1935772000,GE9321293
551804414,64967409
8063282000,GE9699020
4038972000,GE9811237
3336772000,GE3735339
6477673958,GE9789025
1965425295,GE9417130
3594472000,57678562
7467872000,GE9331052
9601313978,GE9882469
1084398823,GE3925601
9361474089,1790412
7330672000,7937851
6118772000,GE3758338
2751876491,GE3926532
8092182000,915646
5786564911,X0876763
1238272000,GE3644832
727082000,GE9892573
2722382000,GE9799770
7678572000,GE9388377
8862267277,GE8572577
1887114099,12349438
6332172000,GE3663062
4958816918,GE3645422
6699655519,GE5839146
6378022741,GE9850469
9066963911,GE3803654
5722172000,SS17861399
911027032,1942868
4243772000,11539951
6537182000,612112
4713772000,11387773
9674580684,15555510
4185987760,GE9328668
8569886368,23574482
5346772000,GE3621338
5952347438,GE3914917
7600282000,GE9788457
3157866254,5939614
5321672000,GE9788354
2621111413,71780042
6744172000,GE3910313
5233472000,4021596
5189650688,GE9893669
4808097379,GE9415254
6515772000,56595344
2332017328,GE9882138
9810391122,GE9417977
1764182000,71778292
6051742721,1790943
365614916,GE3737236
9945341547,GE9327998
7579433209,GE9892289
9195182000,GE9353113
9645467464,57652664
4096872000,GE3834139
4173182000,1237271
2807321117,GE3507976
8854380195,GE9850046
2485885332,GE9322581
1787072000,7586581
102382000,GE9361086
4261672000,GE9387488
1909560553,GE9352689
597072000,D369496
7506815606,1241144
5892382000,SS17884857
1471999986,D562207
160721571,GE3859745
2736221400,382318
1972403038,2400245
1816656286,GE9756576
3296972000,GE9417735
6795093898,GE9894744
7407625745,4367841
